ibi,ibf,dEDelta,dEZeroth,dEFirst,dEGroundInit,dEFinalGround
1551,1553,-1.88E-03,-4.95E-08,4.95E-08,9.98E-04,-9.03E-04
1551,1554,-2.65E-03,-4.22E-03,4.22E-03,9.98E-04,-1.01E-03
1551,1555,-3.47E-03,-4.25E-03,4.25E-03,9.98E-04,-1.13E-03
1551,1557,-4.06E-03,-6.34E-03,6.34E-03,9.98E-04,-1.07E-03
1551,1568,-7.08E-03,-7.34E-03,7.34E-03,9.98E-04,-1.13E-03
1551,1572,-8.00E-03,-8.63E-03,8.63E-03,9.98E-04,-1.13E-03
1551,1575,-8.54E-03,-8.91E-03,8.91E-03,9.98E-04,-9.82E-04
1551,1576,-1.12E-02,-8.91E-03,8.91E-03,9.98E-04,-1.13E-03
1551,1577,-1.17E-02,-1.35E-02,1.35E-02,9.98E-04,-1.16E-03
1551,1579,-1.26E-02,-1.36E-02,1.36E-02,9.98E-04,-1.15E-03
1551,1580,-1.35E-02,-1.36E-02,1.36E-02,9.98E-04,-1.22E-03
1551,1582,-1.42E-02,-1.51E-02,1.51E-02,9.98E-04,-1.18E-03
1551,1585,-1.54E-02,-1.62E-02,1.62E-02,9.98E-04,-1.07E-03
1551,1586,-1.72E-02,-1.62E-02,1.62E-02,9.98E-04,-1.19E-03
1551,1587,-1.76E-02,-1.92E-02,1.92E-02,9.98E-04,-1.05E-03
1551,1588,-1.82E-02,-1.92E-02,1.92E-02,9.98E-04,-1.13E-03
1551,1590,-1.88E-02,-1.92E-02,1.92E-02,9.98E-04,-1.06E-03
1551,1591,-1.95E-02,-2.08E-02,2.08E-02,9.98E-04,-1.24E-03
1551,1595,-2.06E-02,-2.18E-02,2.18E-02,9.98E-04,-1.17E-03
1551,1596,-2.06E-02,-2.18E-02,2.18E-02,9.98E-04,-9.56E-04
1551,1597,-2.12E-02,-2.18E-02,2.18E-02,9.98E-04,-1.07E-03
1551,1598,-2.20E-02,-2.18E-02,2.18E-02,9.98E-04,-9.37E-04
1551,1599,-2.68E-02,-2.97E-02,2.97E-02,9.98E-04,-1.11E-03
1551,1600,-2.79E-02,-2.97E-02,2.97E-02,9.98E-04,-1.07E-03
1551,1605,-3.04E-02,-3.29E-02,3.29E-02,9.98E-04,-9.63E-04
1551,1606,-3.10E-02,-3.29E-02,3.29E-02,9.98E-04,-1.05E-03
1551,1607,-3.18E-02,-3.29E-02,3.29E-02,9.98E-04,-1.15E-03
1551,1610,-3.32E-02,-3.39E-02,3.39E-02,9.98E-04,-1.11E-03
1551,1611,-3.98E-02,-4.18E-02,4.18E-02,9.98E-04,-7.99E-04
1551,1612,-4.04E-02,-4.29E-02,4.29E-02,9.98E-04,-8.97E-04
1551,1613,-4.10E-02,-4.29E-02,4.29E-02,9.98E-04,-9.60E-04
1552,1553,-1.88E-03,-4.52E-08,4.52E-08,9.01E-04,-9.03E-04
1552,1554,-2.65E-03,-4.22E-03,4.22E-03,9.01E-04,-1.01E-03
1552,1555,-3.46E-03,-4.25E-03,4.25E-03,9.01E-04,-1.13E-03
1552,1557,-4.06E-03,-6.34E-03,6.34E-03,9.01E-04,-1.07E-03
1552,1568,-7.07E-03,-7.34E-03,7.34E-03,9.01E-04,-1.13E-03
1552,1572,-8.00E-03,-8.63E-03,8.63E-03,9.01E-04,-1.13E-03
1552,1575,-8.54E-03,-8.91E-03,8.91E-03,9.01E-04,-9.82E-04
1552,1576,-1.12E-02,-8.91E-03,8.91E-03,9.01E-04,-1.13E-03
1552,1577,-1.17E-02,-1.35E-02,1.35E-02,9.01E-04,-1.16E-03
1552,1579,-1.25E-02,-1.36E-02,1.36E-02,9.01E-04,-1.15E-03
1552,1580,-1.35E-02,-1.36E-02,1.36E-02,9.01E-04,-1.22E-03
1552,1582,-1.42E-02,-1.51E-02,1.51E-02,9.01E-04,-1.18E-03
1552,1585,-1.54E-02,-1.62E-02,1.62E-02,9.01E-04,-1.07E-03
1552,1586,-1.72E-02,-1.62E-02,1.62E-02,9.01E-04,-1.19E-03
1552,1587,-1.75E-02,-1.92E-02,1.92E-02,9.01E-04,-1.05E-03
1552,1588,-1.82E-02,-1.92E-02,1.92E-02,9.01E-04,-1.13E-03
1552,1590,-1.88E-02,-1.92E-02,1.92E-02,9.01E-04,-1.06E-03
1552,1591,-1.95E-02,-2.08E-02,2.08E-02,9.01E-04,-1.24E-03
1552,1595,-2.06E-02,-2.18E-02,2.18E-02,9.01E-04,-1.17E-03
