ibi,ibf,Norm2Overlap,MatrixElement
1551,1553,3.70E-02,9.04E-17
1551,1554,4.35E-03,7.73E-08
1551,1555,1.54E-03,2.79E-08
1551,1557,2.39E-03,9.61E-08
1551,1568,1.18E-04,6.36E-09
1551,1572,3.72E-05,2.77E-09
1551,1575,5.48E-03,4.35E-07
1551,1576,2.99E-04,2.37E-08
1551,1577,3.98E-04,7.28E-08
1551,1579,1.32E-04,2.42E-08
1551,1580,9.89E-06,1.82E-09
1551,1582,1.09E-06,2.48E-10
1551,1585,2.71E-05,7.09E-09
1551,1586,1.52E-05,3.98E-09
1551,1587,4.49E-05,1.65E-08
1551,1588,3.61E-06,1.33E-09
1551,1590,1.25E-04,4.59E-08
1551,1591,6.70E-08,2.89E-11
1551,1595,2.60E-07,1.24E-10
1551,1596,1.13E-03,5.35E-07
1551,1597,2.57E-07,1.22E-10
1551,1598,2.13E-03,1.01E-06
1551,1599,3.38E-04,2.99E-07
1551,1600,4.51E-05,3.98E-08
1551,1605,8.46E-05,9.14E-08
1551,1606,1.18E-04,1.27E-07
1551,1607,3.17E-06,3.43E-09
1551,1610,8.10E-07,9.32E-10
1551,1611,3.11E-04,5.43E-07
1551,1612,4.47E-05,8.22E-08
1551,1613,4.19E-05,7.72E-08
1552,1553,4.18E-03,8.54E-18
1552,1554,4.13E-02,7.35E-07
1552,1555,1.83E-04,3.31E-09
1552,1557,3.22E-04,1.29E-08
1552,1568,9.91E-04,5.34E-08
1552,1572,3.20E-04,2.39E-08
1552,1575,6.04E-04,4.79E-08
1552,1576,3.14E-03,2.49E-07
1552,1577,4.33E-05,7.92E-09
1552,1579,1.44E-05,2.66E-09
1552,1580,1.38E-04,2.54E-08
1552,1582,1.63E-05,3.71E-09
1552,1585,2.46E-04,6.44E-08
1552,1586,1.89E-04,4.94E-08
1552,1587,3.17E-06,1.17E-09
1552,1588,2.74E-05,1.01E-08
1552,1590,1.19E-03,4.38E-07
1552,1591,5.10E-08,2.20E-11
1552,1595,2.12E-06,1.01E-09
1552,1596,1.43E-04,6.81E-08
1552,1597,5.03E-06,2.39E-09
1552,1598,2.73E-04,1.30E-07
1552,1599,3.85E-05,3.40E-08
1552,1600,4.74E-04,4.19E-07
1552,1605,8.46E-04,9.14E-07
1552,1606,1.31E-05,1.41E-08
1552,1607,3.45E-07,3.73E-10
1552,1610,6.96E-06,8.01E-09
1552,1611,3.51E-05,6.12E-08
1552,1612,4.62E-04,8.51E-07
1552,1613,4.61E-06,8.49E-09
1553,1551,4.39E-02,1.07E-16
1553,1552,2.73E-02,5.58E-17
1553,1554,8.17E-03,1.45E-07
1553,1555,4.63E-06,8.37E-11
1553,1557,1.73E-04,6.94E-09
1553,1568,2.44E-04,1.32E-08
1553,1572,1.35E-04,1.01E-08
1553,1575,2.52E-04,2.00E-08
1553,1576,6.87E-04,5.45E-08
1553,1577,1.68E-04,3.07E-08
1553,1579,5.05E-05,9.28E-09
1553,1580,1.27E-04,2.34E-08
1553,1582,5.27E-05,1.20E-08
1553,1585,3.53E-05,9.25E-09
1553,1586,1.05E-04,2.76E-08
1553,1587,5.53E-08,2.04E-11
1553,1588,1.81E-05,6.64E-09
1553,1590,2.85E-04,1.05E-07
1553,1591,1.64E-04,7.06E-08
1553,1595,3.10E-05,1.47E-08
1553,1596,8.76E-06,4.16E-09
1553,1597,3.10E-05,1.47E-08
1553,1598,8.35E-05,3.97E-08
1553,1599,7.12E-05,6.29E-08
1553,1600,1.68E-04,1.48E-07
1553,1605,2.16E-04,2.34E-07
1553,1606,6.27E-05,6.78E-08
1553,1607,2.56E-06,2.77E-09
1553,1610,7.09E-06,8.16E-09
1553,1611,7.98E-05,1.39E-07
1553,1612,1.59E-04,2.92E-07
1553,1613,1.31E-06,2.42E-09
1554,1551,1.78E-02,3.16E-07
1554,1552,1.48E-01,2.64E-06
1554,1553,6.01E-02,1.07E-06
1554,1555,2.59E-05,3.54E-14
1554,1557,6.06E-04,2.72E-09
1554,1568,4.00E-06,3.91E-11
1554,1572,5.19E-06,1.01E-10
1554,1575,1.37E-03,3.01E-08
1554,1576,8.08E-05,1.78E-09
1554,1577,8.38E-04,7.26E-08
1554,1579,2.65E-04,2.31E-08
1554,1580,2.13E-05,1.86E-09
1554,1582,1.77E-05,2.09E-09
1554,1585,4.54E-06,6.50E-10
1554,1586,3.12E-06,4.47E-10
1554,1587,4.19E-07,9.39E-11
1554,1588,1.73E-06,3.87E-10
1554,1590,3.91E-05,8.75E-09
1554,1591,7.88E-04,2.16E-07
1554,1595,1.68E-06,5.18E-10
1554,1596,1.93E-05,5.97E-09
1554,1597,2.17E-05,6.71E-09
1554,1598,3.01E-04,9.31E-08
1554,1599,3.51E-04,2.29E-07
1554,1600,1.08E-05,7.02E-09
1554,1605,1.83E-05,1.50E-08
1554,1606,3.20E-04,2.63E-07
1554,1607,1.38E-05,1.13E-08
1554,1610,6.62E-06,5.84E-09
1554,1611,3.94E-04,5.56E-07
1554,1612,9.79E-06,1.46E-08
1554,1613,6.44E-06,9.65E-09
1555,1551,1.90E-01,3.44E-06
1555,1552,1.73E-03,3.14E-08
1555,1553,2.85E-05,5.16E-10
1555,1554,1.58E-02,2.15E-11
1555,1557,2.45E-03,1.06E-08
1555,1568,2.65E-03,2.53E-08
1555,1572,8.92E-04,1.71E-08
1555,1575,9.99E-06,2.16E-10
1555,1576,6.94E-04,1.50E-08
1555,1577,7.41E-05,6.37E-09
1555,1579,1.34E-06,1.16E-10
1555,1580,1.17E-05,1.01E-09
1555,1582,1.21E-04,1.42E-08
1555,1585,2.69E-05,3.82E-09
1555,1586,8.34E-04,1.18E-07
1555,1587,1.07E-04,2.38E-08
1555,1588,3.26E-05,7.26E-09
1555,1590,1.47E-04,3.27E-08
1555,1591,1.59E-04,4.35E-08
1555,1595,1.48E-04,4.54E-08
1555,1596,4.61E-04,1.42E-07
1555,1597,5.62E-04,1.73E-07
1555,1598,1.07E-03,3.29E-07
1555,1599,4.07E-05,2.64E-08
1555,1600,6.46E-04,4.19E-07
1555,1605,5.24E-04,4.29E-07
1555,1606,1.05E-05,8.60E-09
1555,1607,3.16E-08,2.59E-11
1555,1610,2.24E-04,1.97E-07
1555,1611,4.23E-05,5.97E-08
1555,1612,6.43E-04,9.60E-07
1555,1613,7.97E-07,1.19E-09
1557,1551,4.86E-02,1.95E-06
1557,1552,4.90E-02,1.97E-06
1557,1553,6.14E-03,2.46E-07
1557,1554,2.82E-03,1.27E-08
1557,1555,1.25E-04,5.44E-10
1557,1568,1.56E-04,1.58E-10
1557,1572,1.75E-04,9.20E-10
1557,1575,2.93E-03,1.93E-08
1557,1576,8.68E-05,5.73E-10
1557,1577,7.82E-10,4.04E-14
1557,1579,3.80E-06,1.98E-10
1557,1580,1.47E-05,7.65E-10
1557,1582,4.06E-06,3.10E-10
1557,1585,1.84E-05,1.78E-09
1557,1586,7.53E-06,7.29E-10
1557,1587,8.23E-06,1.36E-09
1557,1588,1.02E-05,1.67E-09
1557,1590,2.65E-04,4.37E-08
1557,1591,1.95E-04,4.06E-08
1557,1595,6.97E-07,1.66E-10
1557,1596,8.19E-04,1.96E-07
1557,1597,2.25E-05,5.37E-09
1557,1598,1.63E-03,3.89E-07
1557,1599,1.05E-07,5.75E-11
1557,1600,1.06E-05,5.80E-09
1557,1605,9.98E-05,7.03E-08
1557,1606,1.20E-08,8.43E-12
1557,1607,2.58E-07,1.82E-10
1557,1610,8.49E-06,6.46E-09
1557,1611,2.61E-07,3.28E-10
1557,1612,1.44E-05,1.93E-08
1557,1613,5.13E-05,6.86E-08
1568,1551,4.42E-03,2.38E-07
1568,1552,4.62E-04,2.49E-08
1568,1553,4.94E-04,2.66E-08
1568,1554,2.02E-02,1.98E-07
1568,1555,2.85E-04,2.72E-09
1568,1557,3.56E-04,3.61E-10
1568,1572,1.35E-03,2.23E-09
1568,1575,8.53E-03,2.08E-08
1568,1576,7.33E-03,1.79E-08
1568,1577,1.34E-06,5.10E-11
1568,1579,5.05E-06,1.95E-10
1568,1580,3.41E-06,1.32E-10
1568,1582,1.65E-05,9.86E-10
1568,1585,1.11E-04,8.65E-09
1568,1586,1.20E-04,9.35E-09
1568,1587,1.78E-05,2.50E-09
1568,1588,1.77E-05,2.48E-09
1568,1590,4.88E-04,6.84E-08
1568,1591,5.86E-05,1.06E-08
1568,1595,8.36E-06,1.74E-09
1568,1596,8.83E-05,1.84E-08
1568,1597,8.14E-05,1.70E-08
1568,1598,6.30E-04,1.32E-07
1568,1599,1.02E-05,5.10E-09
1568,1600,2.35E-04,1.18E-07
1568,1605,4.09E-04,2.66E-07
1568,1606,1.53E-08,9.97E-12
1568,1607,6.95E-08,4.54E-11
1568,1610,2.45E-06,1.73E-09
1568,1611,9.39E-07,1.11E-09
1568,1612,2.34E-04,2.96E-07
1568,1613,1.40E-05,1.77E-08
1572,1551,1.19E-05,8.88E-10
1572,1552,3.19E-04,2.38E-08
1572,1553,6.86E-03,5.11E-07
1572,1554,1.49E-03,2.90E-08
1572,1555,1.96E-04,3.75E-09
1572,1557,1.51E-02,7.94E-08
1572,1568,5.53E-03,9.13E-09
1572,1575,2.86E-04,2.20E-11
1572,1576,8.08E-03,6.21E-10
1572,1577,1.32E-02,3.17E-07
1572,1579,2.21E-03,5.37E-08
1572,1580,2.25E-03,5.46E-08
1572,1582,1.75E-04,7.25E-09
1572,1585,3.48E-08,1.98E-12
1572,1586,1.09E-03,6.22E-08
1572,1587,3.91E-03,4.36E-07
1572,1588,5.10E-05,5.68E-09
1572,1590,6.84E-05,7.62E-09
1572,1591,2.35E-03,3.47E-07
1572,1595,7.91E-07,1.37E-10
1572,1596,2.19E-03,3.80E-07
1572,1597,1.51E-04,2.62E-08
1572,1598,3.13E-02,5.42E-06
1572,1599,1.28E-03,5.68E-07
1572,1600,5.39E-04,2.40E-07
1572,1605,2.85E-04,1.67E-07
1572,1606,1.84E-04,1.08E-07
