ibi,ibf,TransitionRate
1551,1553,3.31E+03
1551,1554,2.77E+12
1551,1555,3.28E+11
1551,1557,3.89E+11
1551,1568,3.85E+10
1551,1572,2.36E+09
1551,1575,7.56E+10
1551,1576,3.34E+09
1551,1577,8.01E+09
1551,1579,2.20E+09
1551,1580,1.31E+08
1551,1582,1.57E+07
1551,1585,4.47E+08
1551,1586,1.84E+08
1551,1587,6.44E+08
1551,1588,4.90E+07
1551,1590,1.98E+09
1551,1591,9.15E+05
1551,1595,3.94E+06
1551,1596,1.80E+10
1551,1597,3.83E+06
1551,1598,2.51E+10
1551,1599,4.97E+09
1551,1600,6.24E+08
1551,1605,1.21E+09
1551,1606,1.60E+09
1551,1607,3.98E+07
1551,1610,9.92E+06
1551,1611,3.94E+09
1551,1612,5.97E+08
1551,1613,5.31E+08
1552,1553,3.15E+02
1552,1554,2.68E+13
1552,1555,3.97E+10
1552,1557,5.31E+10
1552,1568,3.25E+11
1552,1572,2.04E+10
1552,1575,8.33E+09
1552,1576,3.49E+10
1552,1577,8.68E+08
1552,1579,2.42E+08
1552,1580,1.83E+09
1552,1582,2.36E+08
1552,1585,4.06E+09
1552,1586,2.29E+09
1552,1587,4.55E+07
1552,1588,3.73E+08
1552,1590,1.89E+10
1552,1591,6.97E+05
1552,1595,3.21E+07
1552,1596,2.30E+09
1552,1597,7.50E+07
1552,1598,3.21E+09
1552,1599,5.66E+08
1552,1600,6.56E+09
1552,1605,1.21E+10
1552,1606,1.77E+08
1552,1607,4.34E+06
1552,1610,8.53E+07
1552,1611,4.45E+08
1552,1612,6.18E+09
1552,1613,5.84E+07
1553,1551,7.21E+02
1553,1552,3.80E+02
1553,1554,9.93E+12
1553,1555,2.28E+09
1553,1557,2.37E+11
1553,1568,3.36E+10
1553,1572,1.15E+10
1553,1575,6.46E+10
1553,1576,1.12E+10
1553,1577,6.72E+09
1553,1579,1.27E+09
1553,1580,2.90E+09
1553,1582,1.24E+09
1553,1585,6.33E+08
1553,1586,1.47E+09
1553,1587,1.31E+06
1553,1588,4.11E+08
1553,1590,4.61E+09
1553,1591,3.32E+09
1553,1595,5.11E+08
1553,1596,1.44E+08
1553,1597,4.74E+08
1553,1598,1.30E+09
1553,1599,1.27E+09
1553,1600,2.61E+09
1553,1605,3.37E+09
1553,1606,9.32E+08
1553,1607,3.75E+07
1553,1610,1.01E+08
1553,1611,1.15E+09
1553,1612,2.28E+09
1553,1613,1.82E+07
1554,1551,1.09E+12
1554,1552,9.23E+12
1554,1553,3.93E+13
1554,1555,1.80E+06
1554,1557,1.19E+11
1554,1568,1.94E+08
1554,1572,1.53E+08
1554,1575,1.29E+11
1554,1576,3.88E+08
1554,1577,2.41E+10
1554,1579,3.63E+09
1554,1580,2.21E+08
1554,1582,2.29E+08
1554,1585,4.97E+07
1554,1586,2.58E+07
1554,1587,6.54E+06
1554,1588,2.55E+07
1554,1590,4.19E+08
1554,1591,1.04E+10
1554,1595,1.92E+07
1554,1596,2.23E+08
1554,1597,2.32E+08
1554,1598,3.23E+09
1554,1599,4.91E+09
1554,1600,1.30E+08
1554,1605,2.27E+08
1554,1606,3.80E+09
1554,1607,1.60E+08
1554,1610,7.48E+07
1554,1611,4.73E+09
1554,1612,1.18E+08
1554,1613,7.56E+07
1555,1551,3.94E+12
1555,1552,3.63E+10
1555,1553,4.22E+09
1555,1554,5.91E+08
1555,1557,7.92E+11
1555,1568,3.37E+11
1555,1572,3.85E+10
1555,1575,7.67E+08
1555,1576,5.14E+09
1555,1577,1.61E+09
1555,1579,1.77E+07
1555,1580,1.44E+08
1555,1582,1.62E+09
1555,1585,3.51E+08
1555,1586,8.16E+09
1555,1587,1.61E+09
1555,1588,4.45E+08
1555,1590,1.90E+09
1555,1591,2.16E+09
1555,1595,1.91E+09
1555,1596,6.18E+09
1555,1597,6.93E+09
1555,1598,1.18E+10
1555,1599,5.76E+08
1555,1600,8.16E+09
1555,1605,6.92E+09
1555,1606,1.30E+08
1555,1607,3.73E+05
1555,1610,2.59E+09
1555,1611,5.16E+08
1555,1612,8.08E+09
1555,1613,9.64E+06
1557,1551,1.35E+12
1557,1552,1.36E+12
1557,1553,1.18E+12
1557,1554,1.56E+11
1557,1555,2.54E+10
1557,1568,5.88E+09
1557,1572,1.23E+10
1557,1575,4.86E+10
1557,1576,9.11E+08
1557,1577,2.78E+04
1557,1579,7.55E+07
1557,1580,1.53E+08
1557,1582,4.15E+07
1557,1585,4.07E+08
1557,1586,7.74E+07
1557,1587,9.47E+07
1557,1588,1.02E+08
1557,1590,5.12E+09
1557,1591,2.10E+09
1557,1595,9.35E+06
1557,1596,1.28E+10
1557,1597,2.95E+08
1557,1598,1.46E+10
1557,1599,1.32E+06
1557,1600,1.28E+08
1557,1605,1.28E+09
1557,1606,1.42E+05
1557,1607,2.78E+06
1557,1610,8.88E+07
1557,1611,2.95E+06
1557,1612,1.75E+08
1557,1613,5.88E+08
1568,1551,3.96E+10
1568,1552,4.15E+09
1568,1553,1.02E+10
1568,1554,1.11E+11
1568,1555,2.85E+09
1568,1557,8.38E+08
1568,1572,1.34E+11
1568,1575,8.20E+11
1568,1576,1.15E+11
1568,1577,5.26E+08
1568,1579,7.79E+08
1568,1580,4.95E+08
1568,1582,2.38E+09
1568,1585,2.33E+09
1568,1586,1.43E+09
1568,1587,2.56E+09
1568,1588,2.42E+09
1568,1590,6.42E+09
1568,1591,2.64E+09
1568,1595,1.16E+08
1568,1596,1.21E+09
1568,1597,1.05E+09
1568,1598,1.10E+10
1568,1599,1.86E+08
1568,1600,3.29E+09
1568,1605,5.79E+09
1568,1606,2.08E+05
1568,1607,9.60E+05
1568,1610,3.26E+07
1568,1611,1.28E+07
1568,1612,3.11E+09
1568,1613,1.82E+08
1572,1551,1.33E+08
1572,1552,3.56E+09
1572,1553,1.40E+11
1572,1554,1.06E+10
1572,1555,1.99E+09
1572,1557,6.53E+10
1572,1568,2.52E+11
1572,1575,1.67E+09
1572,1576,9.61E+09
1572,1577,2.41E+12
1572,1579,1.47E+11
1572,1580,9.75E+10
1572,1582,6.56E+09
1572,1585,6.71E+05
1572,1586,1.10E+10
1572,1587,1.58E+11
1572,1588,1.84E+09
1572,1590,1.04E+09
1572,1591,4.29E+10
