j,nj
1,2.18E+00
2,2.14E+00
3,2.10E+00
4,2.06E+00
5,2.02E+00
6,2.00E+00
7,1.99E+00
8,1.98E+00
9,1.97E+00
10,1.94E+00
11,1.75E+00
12,1.73E+00
13,1.47E+00
14,1.46E+00
15,1.43E+00
16,1.43E+00
17,1.42E+00
18,1.39E+00
19,1.38E+00
20,1.37E+00
21,1.37E+00
22,1.37E+00
23,1.36E+00
24,1.36E+00
25,1.28E+00
26,1.27E+00
27,1.26E+00
28,1.25E+00
29,1.25E+00
30,1.23E+00
31,1.22E+00
32,1.20E+00
33,1.20E+00
34,1.19E+00
35,1.18E+00
36,1.18E+00
37,1.18E+00
38,1.18E+00
39,1.17E+00
40,1.17E+00
41,1.16E+00
42,1.16E+00
43,1.13E+00
44,1.13E+00
45,1.12E+00
46,1.12E+00
47,1.11E+00
48,1.11E+00
49,1.11E+00
50,1.11E+00
51,1.11E+00
52,1.10E+00
53,1.10E+00
54,1.10E+00
55,1.09E+00
56,1.08E+00
57,1.06E+00
58,1.06E+00
59,1.06E+00
60,1.06E+00
61,1.05E+00
62,1.05E+00
63,1.05E+00
64,1.04E+00
65,1.04E+00
66,1.04E+00
67,1.03E+00
68,1.03E+00
69,1.03E+00
70,1.02E+00
71,1.02E+00
72,1.01E+00
73,1.01E+00
74,1.01E+00
75,1.00E+00
76,1.00E+00
77,1.00E+00
78,9.99E-01
79,9.97E-01
80,9.92E-01
81,9.92E-01
82,9.89E-01
83,9.88E-01
84,9.87E-01
85,9.82E-01
86,9.81E-01
87,9.74E-01
88,9.73E-01
89,9.68E-01
90,9.65E-01
91,9.64E-01
92,9.63E-01
93,9.61E-01
94,9.60E-01
95,9.59E-01
96,9.58E-01
97,9.57E-01
98,9.57E-01
99,9.55E-01
100,9.55E-01
101,9.54E-01
102,9.43E-01
103,9.36E-01
104,9.32E-01
105,9.28E-01
106,9.27E-01
107,9.24E-01
108,9.22E-01
109,9.21E-01
110,9.20E-01
111,9.19E-01
112,9.18E-01
113,9.18E-01
114,9.14E-01
115,9.11E-01
116,9.11E-01
117,9.09E-01
118,9.03E-01
119,9.02E-01
120,9.00E-01
121,8.99E-01
122,8.96E-01
123,8.95E-01
124,8.92E-01
125,8.91E-01
126,8.90E-01
127,8.90E-01
128,8.87E-01
129,8.86E-01
130,8.85E-01
131,8.82E-01
132,8.81E-01
133,8.80E-01
134,8.77E-01
135,8.76E-01
136,8.74E-01
137,8.74E-01
138,8.73E-01
139,8.72E-01
140,8.71E-01
141,8.70E-01
142,8.67E-01
143,8.63E-01
144,8.63E-01
145,8.58E-01
146,8.56E-01
147,8.54E-01
148,8.50E-01
149,8.46E-01
150,8.34E-01
151,8.33E-01
152,8.29E-01
153,8.25E-01
154,8.21E-01
155,8.21E-01
156,8.19E-01
157,8.18E-01
158,8.17E-01
159,8.17E-01
160,8.17E-01
161,8.16E-01
162,8.16E-01
163,8.14E-01
164,8.11E-01
165,7.96E-01
166,7.95E-01
167,7.92E-01
168,7.86E-01
169,7.85E-01
170,7.80E-01
171,7.76E-01
172,7.75E-01
173,7.70E-01
174,7.67E-01
175,7.65E-01
176,7.65E-01
177,7.64E-01
178,7.62E-01
179,7.59E-01
180,7.57E-01
181,7.56E-01
182,7.55E-01
183,7.53E-01
184,7.50E-01
185,7.50E-01
186,7.48E-01
187,7.46E-01
188,7.45E-01
189,7.43E-01
190,7.42E-01
191,7.35E-01
192,7.35E-01
193,7.30E-01
194,7.30E-01
195,7.27E-01
196,7.26E-01
197,7.24E-01
198,7.23E-01
199,7.23E-01
200,7.22E-01
201,7.22E-01
202,7.22E-01
203,7.21E-01
204,7.21E-01
205,7.21E-01
206,7.20E-01
207,7.20E-01
208,7.20E-01
209,7.20E-01
210,7.19E-01
211,7.19E-01
212,7.18E-01
213,7.18E-01
214,7.17E-01
215,7.17E-01
216,7.16E-01
217,7.16E-01
218,7.16E-01
219,7.15E-01
220,7.14E-01
221,7.13E-01
222,7.12E-01
223,7.10E-01
224,7.09E-01
225,7.08E-01
226,7.07E-01
227,7.07E-01
228,7.06E-01
229,7.02E-01
230,6.93E-01
231,6.87E-01
232,6.86E-01
233,6.85E-01
234,6.83E-01
235,6.80E-01
236,6.78E-01
237,6.77E-01
238,6.77E-01
239,6.76E-01
240,6.75E-01
241,6.74E-01
242,6.73E-01
243,6.72E-01
244,6.71E-01
245,6.71E-01
246,6.63E-01
247,6.62E-01
248,6.61E-01
249,6.54E-01
250,6.54E-01
251,6.47E-01
252,6.44E-01
253,6.41E-01
254,6.40E-01
255,6.37E-01
256,6.37E-01
257,6.35E-01
